"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,9460,5135218,9460,9460,629693720
2023-06-01,yandex,cpc,prof-frontend,5160,2801028,5160,5160,329262180
2023-06-01,yandex,cpc,base-frontend,2150,1167095,2150,2150,252164900
2023-06-01,yandex,cpc,base-python,2580,1400514,2580,2580,189231390
2023-06-01,yandex,cpc,base-java,1720,933676,1720,1720,131004660
2023-06-01,yandex,cpc,prof-java,1290,700257,1290,1290,119210190
2023-06-01,yandex,cpc,prof-python,1290,700257,1290,1290,102924370
2023-06-01,vk,cpc,prof-java,860,466838,860,860,100072180
2023-06-01,yandex,cpc,prof-professions-brand,1290,700257,1290,1290,96662710
2023-06-01,yandex,cpc,prof-data-analytics,860,466838,860,860,94713520
2023-06-01,vk,cpc,freemium-frontend,1720,933676,1720,1720,84851900
2023-06-01,yandex,cpc,prof-professions-retarget,860,466838,860,860,68916960
2023-06-01,yandex,cpc,dod-python-java,430,233419,430,430,57663000
2023-06-01,vk,cpc,prof-python,860,466838,860,860,40429890
2023-06-01,yandex,cpc,dod-java,430,233419,430,430,34458480
